id,date_listed,community,zone,lat,lon,property_category,property_type,bedrooms,area_sqft,area_m2,metro_station,metro_line,metro_distance_min,to_burj_khalifa_km,listing_type,price_usd,price_per_sqft_usd
S000001,2024-11-23,DIFC,DIFC,25.21053,55.29453,apartment,4BR_penthouse,4,3658,339.9,Financial Centre,Red,6,2.51,secondary_sale,4806100,1314
S000002,2023-07-05,DIFC,DIFC,25.2133,55.28617,apartment,3BR,3,1783,165.6,Emirates Towers,Red,13,2.15,secondary_sale,2287400,1283
S000003,2022-01-22,Karama,Bur Dubai,25.24835,55.29501,apartment,1BR,1,824,76.5,BurJuman (G),Green,14,6.05,secondary_sale,167100,203
S000004,2021-10-28,The Valley,Dubai-Al Ain Road,24.95989,55.4887,villa,5BR_villa,5,5401,501.8,Discovery Gardens,Red,151,34.09,secondary_sale,832000,154
S000005,2025-05-30,Sobha Hartland,MBR City,25.17393,55.28697,apartment,3BR,3,2005,186.3,Financial Centre,Red,23,2.88,secondary_sale,1323400,660
S000006,2020-10-18,Mohammed Bin Rashid City,Mohammed Bin Rashid,25.1641,55.31677,villa,5BR_villa,5,4922,457.2,Al Nahda (G),Green,68,5.63,secondary_sale,1628000,331
S000007,2022-05-30,Jumeirah Village Circle,JVC,25.05115,55.21885,apartment,1BR,1,740,68.8,Dubai Investment Park,Red,35,17.18,secondary_sale,152100,205
S000008,2020-08-10,Business Bay,Business Bay,25.19017,55.28222,apartment,3BR,3,2094,194.5,Business Bay,Red,4,1.11,secondary_sale,889700,425
S000009,2022-08-18,Bulgari Resort,Jumeirah Bay,25.20622,55.23335,apartment,2BR,2,1367,127.0,Emirates Towers,Red,16,4.25,secondary_sale,3399600,2487
S000010,2020-07-10,Downtown Dubai,Downtown,25.20573,55.27628,apartment,1BR,1,1100,102.2,Burj Khalifa/Dubai Mall,Red,6,0.97,secondary_sale,561000,510
S000011,2020-09-07,Motor City,Motor City,25.04043,55.24906,apartment,2BR,2,1189,110.5,Jumeirah Golf Estates,Red,37,17.62,secondary_sale,186900,157
S000012,2021-11-03,Majan,Dubailand,25.07005,55.28443,apartment,1BR,1,745,69.2,Mall of the Emirates,Red,42,14.17,secondary_sale,121600,163
S000013,2024-03-09,Dubai Production City,IMPZ,25.03769,55.21972,apartment,1BR,1,801,74.5,Al Furjan,Red,38,18.57,secondary_sale,228400,285
S000014,2026-02-23,Motor City,Motor City,25.03997,55.23499,apartment,1BR,1,730,67.9,First Abu Dhabi Bank,Red,44,17.93,secondary_sale,151400,207
S000015,2020-10-29,Sustainable City,Sustainable City,24.98021,55.28391,villa,3BR_villa,3,3044,282.8,First Abu Dhabi Bank,Red,79,24.15,secondary_sale,522400,172
S000016,2024-09-26,City Walk,Al Wasl,25.19082,55.26005,villa,5BR_villa,5,4432,411.8,World Trade Centre,Red,17,1.61,secondary_sale,3724400,840
S000017,2022-05-14,Dubai Marina,Dubai Marina,25.07805,55.1431,apartment,1BR,1,739,68.6,Sharaf DG,Red,29,18.71,secondary_sale,285700,387
S000018,2020-11-28,DAMAC Lagoons,Damac,25.05377,55.27515,villa,6BR_villa,6,7522,698.8,Mashreq Bank,Red,51,15.95,secondary_sale,1309500,174
S000019,2024-08-27,Motor City,Motor City,25.04909,55.22565,apartment,3BR,3,1911,177.5,Union,Red,105,17.18,secondary_sale,523800,274
S000020,2024-05-12,Pearl Jumeira,Jumeirah,25.23377,55.2132,apartment,4BR_penthouse,4,2223,206.5,World Trade Centre,Red,24,7.38,secondary_sale,3049500,1372
S000021,2020-05-21,Majan,Dubailand,25.0814,55.28799,apartment,1BR,1,789,73.3,First Abu Dhabi Bank,Red,43,12.95,secondary_sale,96700,123
S000022,2026-01-28,Dubai Studio City,Dubai Studio City,25.04156,55.23905,apartment,2BR,2,1366,126.9,Jebel Ali,Red,47,17.67,secondary_sale,331100,242
S000023,2023-04-24,Bukadra,Bukadra,25.1835,55.34986,apartment,4BR_penthouse,4,2637,245.0,Dubai Airport Free Zone,Green,50,7.74,secondary_sale,1084700,411
S000024,2024-08-08,Tilal Al Ghaf,Tilal Al Ghaf,25.01243,55.26977,villa,5BR_villa,5,6655,618.2,Jumeirah Golf Estates,Red,44,20.55,secondary_sale,2935400,441
